int_country_code,int_country_name,actual_country_name,comment
518,ANTIGUA-BARBUDA,Antigua and Barbuda,
717,"BONAIRE, ST EUSTATIUS, SABA",,An Island
164,BOSNIA-HERZEGOVINA,Bosnia and Herzegovina,
243,BURMA,Myanmar,Was formerly known as Burma
245,"CHINA, PRC",China,officially the People's Republic of China
385,CONGO,Republic of the Congo,
723,FAROE ISLANDS (PART OF DENMARK),Faroe Islands,
601,FRENCH GUIANA,,It is not a country. it is technically part of France
758,GAZA STRIP,,Gaza is not an independent country
507,GUADELOUPE,,Guadeloupe is an archipelago of more than 12 islands. It is a French overseas region.
726,HEARD AND MCDONALD IS.,Heard Island and McDonald Islands,Australian external territory comprising a volcanic group of mostly barren Antarctic islands
149,HOLY SEE/VATICAN,Vatican,"Vatican City, a city-state surrounded by Rome, Italy, is the headquarters of the Roman Catholic Church. "
759,INDIAN OCEAN AREAS (FRENCH),,Not a country
729,INDIAN OCEAN TERRITORY,,Not a country
201,KAMPUCHEA,Cambodia,"Kampuchea, officially from 5 January 1976 the Democratic Kampuchea, was the Cambodian state under a one-party Marxist-Leninist totalitarian dictatorship that existed between 1975 and 1979."
511,MARTINIQUE,,Martinique is a rugged Caribbean island thatâ€™s part of the Lesser Antilles. 
760,MAYOTTE (AFRICA - FRENCH),Mayotte,
582,"MEXICO Air Sea, and Not Reed (I-94, no land arrivals)",,
473,"MICRONESIA, FED. STATES OF",Micronesia,
416,PITCAIRN ISLANDS,Pitcairn,
748,REPUBLIC OF SOUTH SUDAN,South Sudan,
749,SAINT MAARTEN,Sint Maarten,
142,SERBIA AND MONTENEGRO,,
346,ST. HELENA,Saint Helena,
522,ST. KITTS-NEVIS,Saint Kitts and Nevis,
523,ST. LUCIA,Saint Lucia,
502,ST. PIERRE AND MIQUELON,Saint Pierre and Miquelon,
524,ST. VINCENT-GRENADINES,Saint Vincent and the Grenadines,
469,WALLIS AND FUTUNA ISLANDS,Wallis and Futuna,
757,WEST INDIES (FRENCH),,The term French West Indies or French Antilles refers to the part of France located in the Antilles islands of the Caribbean
465,WESTERN SAMOA,Samoa,On 4 July 1997 the government amended the constitution to change the country's name from Western Samoa to Samoa.
139,YUGOSLAVIA,,Yugoslavia was a country in Southeast Europe and Central Europe for most of the 20th century. 
301,ZAIRE,Republic of the Congo,
